model,hownew,capacity,color,channelfrom,network,guarantee,repaired,price
6,b90,b64,b4,b1,b10,0,0,3560
5,b90,b16,b3,b1,b5,0,0,1150
6,b90,b64,b1,b1,b10,0,0,3400
6,b80,b16,b4,b3,b12,0,0,3220
6P,b80,b16,b1,b1,b12,0,0,3440
6SP,b80,b64,b4,b1,b12,0,0,5040
5,b80,b16,b3,b1,b5,0,0,1100
6P,b80,b64,b1,b1,b10,0,0,3690
6SP,b90,b16,b1,b1,b12,0,0,4530
5,b80,b16,b3,b1,b5,0,0,1100
5,b90,b16,b3,b1,b5,0,0,1150
6P,b90,b16,b1,b3,b12,0,0,3550
4S,b90,b64,b3,b1,b5,0,0,780
4S,b90,b64,b2,b1,b5,0,0,780
4S,b90,b64,b3,b1,b5,0,0,780
6,b90,b64,b5,b1,b10,0,0,3450
5,b80,b16,b3,b1,b5,0,0,1100
6,b90,b64,b5,b1,b10,0,0,3450
5,b80,b16,b3,b1,b5,0,0,1100
6,b80,b64,b4,b1,b10,0,0,3510
5,b80,b16,b3,b1,b5,0,0,1100
6,b80,b16,b4,b3,b12,0,0,3220
6,b80,b16,b5,b3,b12,0,0,3110
6,b80,b16,b5,b3,b12,0,0,3110
5S,b95,b16,b5,b3,b8,0,0,1850
5C,b90,b16,b7,b1,b9,0,0,1180
6P,b90,b64,b1,b1,b10,0,0,3750
5,b90,b16,b3,b1,b5,0,0,1150
4S,b90,b64,b2,b1,b5,0,0,780
5,b90,b16,b3,b1,b5,0,0,1150
6,b80,b64,b4,b1,b10,0,0,3510
6,b80,b16,b4,b2,b8,0,0,3170
6P,b90,b16,b1,b1,b12,0,0,3500
6,b80,b64,b5,b1,b10,0,0,3400
6P,b80,b64,b1,b1,b10,0,0,3690
5,b80,b16,b2,b1,b5,0,0,1100
6P,b90,b64,b1,b1,b10,0,0,3750
6S,b90,b64,b4,b1,b12,0,0,4500
6P,b90,b64,b1,b1,b10,0,0,3750
6S,b90,b64,b4,b1,b12,0,0,4500
6,b90,b64,b5,b1,b10,0,0,3450
6P,b90,b16,b5,b3,b12,0,0,3600
6,b90,b64,b4,b1,b10,0,0,3560
6,b90,b64,b5,b1,b10,0,0,3450
5C,b90,b16,b8,b1,b9,0,0,1180
6S,b80,b16,b1,b1,b12,0,0,3885
6P,b80,b16,b1,b3,b12,0,0,3490
5,b90,b16,b3,b1,b5,0,0,1150
